run,he,mode,loss,train_f1,val_f1,test_f1,iter
4,0.8099659085273743,learned,0.3165132105350494,1.0,0.728,0.732,
0,0.8099659085273743,learned,0.0057807592675089,1.0,0.554,0.516,
1,0.8099659085273743,learned,0.0048521808348596,1.0,0.544,0.532,
2,0.8099659085273743,learned,0.0055474238470196,1.0,0.542,0.529,
3,0.8099659085273743,learned,0.0050758593715727,1.0,0.556,0.525,
4,0.8099659085273743,learned,0.0045772576704621,1.0,0.538,0.517,
0,0.8099659085273743,learned,0.6106670498847961,1.0,0.748,0.79,
1,0.8099659085273743,learned,0.5284936428070068,1.0,0.756,0.752,
2,0.8099659085273743,learned,0.6130809783935547,1.0,0.734,0.764,
3,0.8099659085273743,learned,0.6830496191978455,1.0,0.712,0.745,
4,0.8099659085273743,learned,0.7210477590560913,1.0,0.7419999999999999,0.763,
0,0.8099659085273743,learned,0.0156182069331407,1.0,0.7419999999999999,0.75,
1,0.8099659085273743,learned,0.0122179435566067,1.0,0.736,0.749,
2,0.8099659085273743,learned,0.021781038492918,1.0,0.754,0.747,
3,0.8099659085273743,learned,0.0129255093634128,1.0,0.746,0.769,
4,0.8099659085273743,learned,0.0194656569510698,1.0,0.744,0.761,
0,0.8099659085273743,learned,0.0156449992209672,1.0,0.688,0.707,
1,0.8099659085273743,learned,0.0134884137660264,1.0,0.696,0.7250000000000001,
2,0.8099659085273743,learned,0.0131776519119739,1.0,0.712,0.743,
3,0.8099659085273743,learned,0.0133887724950909,1.0,0.714,0.7190000000000001,
4,0.8099659085273743,learned,0.0251224543899297,0.9928571428571428,0.722,0.708,
0,0.8099659085273743,learned,0.0156381912529468,1.0,0.7419999999999999,0.75,
1,0.8099659085273743,learned,0.0121594415977597,1.0,0.736,0.749,
2,0.8099659085273743,learned,0.0217811577022075,1.0,0.754,0.747,
3,0.8099659085273743,learned,0.012915045954287,1.0,0.746,0.769,
4,0.8099659085273743,learned,0.0194510351866483,1.0,0.734,0.763,
0,0.8099659085273743,learned,0.0156236514449119,1.0,0.7419999999999999,0.75,
1,0.8099659085273743,learned,0.0121937282383441,1.0,0.736,0.749,
2,0.8099659085273743,learned,0.021781425923109,1.0,0.754,0.747,
3,0.8099659085273743,learned,0.0129143455997109,1.0,0.746,0.769,
4,0.8099659085273743,learned,0.0194515418261289,1.0,0.736,0.763,
0,0.8099659085273743,learned,0.640936553478241,1.0,0.7579999999999999,0.788,
1,0.8099659085273743,learned,0.5581831336021423,1.0,0.7299999999999999,0.747,
2,0.8099659085273743,learned,0.5291002988815308,1.0,0.75,0.762,
3,0.8099659085273743,learned,0.640156626701355,0.9928571428571428,0.708,0.7190000000000001,
4,0.8099659085273743,learned,0.6159981489181519,1.0,0.736,0.767,
0,0.8099659085273743,learned,0.0123415449634194,1.0,0.746,0.752,
1,0.8099659085273743,learned,0.0138671733438968,1.0,0.7299999999999999,0.7590000000000001,
2,0.8099659085273743,learned,0.014624728821218,1.0,0.752,0.769,
3,0.8099659085273743,learned,0.0141922067850828,1.0,0.75,0.7729999999999999,
4,0.8099659085273743,learned,0.0153980068862438,1.0,0.744,0.7590000000000001,
0,0.8099659085273743,learned,0.0123415486887097,1.0,0.746,0.752,
